Date,BANKNIFTY_Open,BANKNIFTY_High,BANKNIFTY_Low,BANKNIFTY_Close,BANKNIFTY_PreClose,NIFTY50_Open,NIFTY50_High,NIFTY50_Low,NIFTY50_Close,NIFTY50_PreClose,AUBANK_Open,AUBANK_High,AUBANK_Low,AUBANK_Close,AUBANK_Volume,AUBANK_PreClose,HDFCBANK_Open,HDFCBANK_High,HDFCBANK_Low,HDFCBANK_Close,HDFCBANK_Volume,HDFCBANK_PreClose,KOTAKBANK_Open,KOTAKBANK_High,KOTAKBANK_Low,KOTAKBANK_Close,KOTAKBANK_Volume,KOTAKBANK_PreClose,INDUSINDBK_Open,INDUSINDBK_High,INDUSINDBK_Low,INDUSINDBK_Close,INDUSINDBK_Volume,INDUSINDBK_PreClose,IDFCFIRSTB_Open,IDFCFIRSTB_High,IDFCFIRSTB_Low,IDFCFIRSTB_Close,IDFCFIRSTB_Volume,IDFCFIRSTB_PreClose,AXISBANK_Open,AXISBANK_High,AXISBANK_Low,AXISBANK_Close,AXISBANK_Volume,AXISBANK_PreClose,ICICIBANK_Open,ICICIBANK_High,ICICIBANK_Low,ICICIBANK_Close,ICICIBANK_Volume,ICICIBANK_PreClose,PNB_Open,PNB_High,PNB_Low,PNB_Close,PNB_Volume,PNB_PreClose,FEDERALBNK_Open,FEDERALBNK_High,FEDERALBNK_Low,FEDERALBNK_Close,FEDERALBNK_Volume,FEDERALBNK_PreClose,BANKBARODA_Open,BANKBARODA_High,BANKBARODA_Low,BANKBARODA_Close,BANKBARODA_Volume,BANKBARODA_PreClose,BANDHANBNK_Open,BANDHANBNK_High,BANDHANBNK_Low,BANDHANBNK_Close,BANDHANBNK_Volume,BANDHANBNK_PreClose,SBIN_Open,SBIN_High,SBIN_Low,SBIN_Close,SBIN_Volume,SBIN_PreClose
2019-03-22,29920.75,30008.099609375,29508.69921875,29582.5,,11549.2001953125,11572.7998046875,11434.5498046875,11456.900390625,,285.5,290.5,278.5,281.3999938964844,1267646,,1150.0,1153.5,1135.4000244140625,1138.074951171875,15201940,,1354.699951171875,1364.6500244140625,1331.0,1336.25,2620049,,1715.0,1731.550048828125,1694.300048828125,1698.5999755859375,2081172,,52.599998474121094,53.849998474121094,52.349998474121094,52.79999923706055,24095753,,764.7000122070312,765.9000244140625,735.5499877929688,757.0499877929688,10355078,,394.45001220703125,396.29998779296875,390.0,391.79998779296875,17409249,,95.94999694824219,95.94999694824219,90.5999984741211,91.55000305175781,69603817,,92.80000305175781,94.0,90.0999984741211,90.44999694824219,9899007,,126.05000305175781,126.94999694824219,119.30000305175781,120.0999984741211,21842085,,500.5,508.0,499.75,501.8500061035156,1048361,,304.29998779296875,306.3999938964844,296.95001220703125,298.04998779296875,17865957,
2019-03-25,29329.400390625,29329.400390625,29156.25,29281.19921875,29582.5,11395.650390625,11395.650390625,11311.599609375,11354.25,11456.900390625,279.0,280.5,275.04998779296875,275.82501220703125,1470870,281.3999938964844,1130.0,1143.925048828125,1126.5,1140.6500244140625,4599630,1138.074951171875,1325.949951171875,1330.8499755859375,1303.199951171875,1308.6500244140625,2869564,1336.25,1682.0999755859375,1699.949951171875,1675.0,1683.550048828125,1689972,1698.5999755859375,52.5,52.5,51.45000076293945,51.79999923706055,14411047,52.79999923706055,752.7000122070312,755.0,741.1500244140625,745.7000122070312,7130411,757.0499877929688,387.95001220703125,387.95001220703125,382.5,383.5,12345034,391.79998779296875,89.55000305175781,91.25,89.19999694824219,90.30000305175781,30226076,91.55000305175781,89.75,89.9000015258789,88.19999694824219,88.80000305175781,8179202,90.44999694824219,118.9000015258789,118.9000015258789,116.4000015258789,118.19999694824219,11683480,120.0999984741211,498.0,499.8999938964844,487.0,487.8500061035156,254805,501.8500061035156,294.0,295.45001220703125,292.20001220703125,294.0,16895511,298.04998779296875
2019-03-26,29300.400390625,29950.150390625,29278.5,29882.150390625,29281.19921875,11375.2001953125,11496.75,11352.4501953125,11483.25,11354.25,277.5,279.25,270.625,278.125,1367822,275.82501220703125,1137.949951171875,1157.5,1136.300048828125,1155.675048828125,5893424,1140.6500244140625,1312.25,1347.949951171875,1310.050048828125,1342.949951171875,2051170,1308.6500244140625,1681.0,1720.0,1668.5999755859375,1714.6500244140625,2216791,1683.550048828125,52.0,52.900001525878906,51.849998474121094,52.54999923706055,14207853,51.79999923706055,747.4000244140625,760.9500122070312,741.6500244140625,757.0999755859375,7300104,745.7000122070312,384.95001220703125,395.5,383.3999938964844,394.1000061035156,14063632,383.5,91.19999694824219,93.0999984741211,90.69999694824219,92.5,24611358,90.30000305175781,88.9000015258789,91.19999694824219,88.9000015258789,90.69999694824219,9565348,88.80000305175781,119.0999984741211,122.1500015258789,118.75,120.80000305175781,13335846,118.19999694824219,492.0,493.54998779296875,487.0,487.79998779296875,253540,487.8500061035156,294.75,305.0,294.75,303.5,18303791,294.0
2019-03-27,30034.150390625,30262.55078125,29790.25,30019.80078125,29882.150390625,11531.4501953125,11546.2001953125,11413.0,11445.0498046875,11483.25,277.54998779296875,289.25,277.54998779296875,287.2749938964844,1919460,278.125,1159.2750244140625,1164.0250244140625,1139.5250244140625,1149.7249755859375,6942650,1155.675048828125,1349.949951171875,1363.9000244140625,1325.050048828125,1332.8499755859375,3039458,1342.949951171875,1730.0,1813.449951171875,1720.0999755859375,1804.25,5562677,1714.6500244140625,52.95000076293945,54.54999923706055,52.79999923706055,53.70000076293945,25331474,52.54999923706055,761.2999877929688,770.0,755.8499755859375,759.2999877929688,7456768,757.0999755859375,395.3999938964844,398.45001220703125,390.1499938964844,393.20001220703125,17950017,394.1000061035156,93.5,95.05000305175781,92.80000305175781,93.4000015258789,44404743,92.5,91.0999984741211,92.5999984741211,90.5999984741211,91.80000305175781,11512290,90.69999694824219,122.4000015258789,123.44999694824219,120.30000305175781,121.55000305175781,16800819,120.80000305175781,490.0,498.29998779296875,484.1499938964844,492.70001220703125,586002,487.79998779296875,305.25,310.8500061035156,304.3500061035156,308.79998779296875,35956450,303.5
2019-03-28,30064.80078125,30496.05078125,29969.099609375,30420.55078125,30019.80078125,11463.650390625,11588.5,11452.4501953125,11570.0,11445.0498046875,289.0,295.0,284.5,294.17498779296875,614690,287.2749938964844,1149.4000244140625,1162.5,1143.925048828125,1151.4000244140625,9777164,1149.7249755859375,1338.0,1352.0,1328.9000244140625,1340.75,4616695,1332.8499755859375,1812.5,1834.4000244140625,1777.1500244140625,1821.0999755859375,4070284,1804.25,53.400001525878906,55.0,53.0,54.650001525878906,21008501,53.70000076293945,761.0999755859375,787.6500244140625,757.1500244140625,780.7000122070312,16643818,759.2999877929688,392.75,401.8999938964844,392.75,400.54998779296875,23117485,393.20001220703125,93.9000015258789,95.80000305175781,93.3499984741211,95.3499984741211,43461013,93.4000015258789,92.0,94.30000305175781,91.30000305175781,93.6500015258789,14408292,91.80000305175781,121.75,131.39999389648438,121.55000305175781,130.10000610351562,44199513,121.55000305175781,496.79998779296875,532.4000244140625,495.0,522.3499755859375,1603747,492.70001220703125,310.1000061035156,339.6499938964844,309.04998779296875,319.0,63244736,308.79998779296875
2019-04-01,30537.599609375,30648.099609375,30218.349609375,30326.5,30420.55078125,11665.2001953125,11738.099609375,11644.75,11669.150390625,11570.0,299.29998779296875,299.7250061035156,292.7250061035156,294.54998779296875,763592,294.17498779296875,1162.625,1166.0,1152.300048828125,1155.9000244140625,4823538,1151.4000244140625,1336.0,1362.0,1326.050048828125,1339.4000244140625,3167512,1340.75,1797.0,1799.0,1739.050048828125,1743.050048828125,2594605,1821.0999755859375,55.900001525878906,56.849998474121094,55.599998474121094,55.900001525878906,20543684,54.650001525878906,780.9500122070312,783.0,760.5999755859375,765.5999755859375,6021202,780.7000122070312,401.45001220703125,409.54998779296875,395.75,398.25,16106604,400.54998779296875,96.0999984741211,99.9000015258789,96.0999984741211,97.5,51690683,95.3499984741211,96.94999694824219,99.19999694824219,96.3499984741211,98.0999984741211,28141460,93.6500015258789,133.0,137.3000030517578,130.25,132.6999969482422,42469408,130.10000610351562,528.5,534.5999755859375,525.5999755859375,530.0999755859375,602748,522.3499755859375,321.79998779296875,327.6499938964844,321.04998779296875,322.75,22372357,319.0
2019-04-02,30450.099609375,30452.900390625,30155.849609375,30354.25,30326.5,11711.5498046875,11729.349609375,11655.849609375,11713.2001953125,11669.150390625,295.0249938964844,307.0,293.07501220703125,305.29998779296875,714392,294.54998779296875,1160.0,1160.0,1142.7249755859375,1147.425048828125,5455248,1155.9000244140625,1344.0,1344.8499755859375,1328.0,1339.449951171875,1775599,1339.4000244140625,1754.6500244140625,1780.0,1730.800048828125,1774.550048828125,2760486,1743.050048828125,56.25,56.349998474121094,54.25,54.95000076293945,16984494,55.900001525878906,769.1500244140625,774.9500122070312,761.0,767.4000244140625,6592678,765.5999755859375,400.0,400.0,393.45001220703125,397.1499938964844,13010810,398.25,97.6500015258789,99.80000305175781,96.05000305175781,98.30000305175781,52878919,97.5,98.30000305175781,99.44999694824219,96.0,97.4000015258789,16523996,98.0999984741211,133.6999969482422,135.39999389648438,130.8000030517578,133.1999969482422,29686522,132.6999969482422,532.7999877929688,536.0,520.2999877929688,531.3499755859375,514031,530.0999755859375,323.6499938964844,331.0,322.1000061035156,329.0,27897583,322.75
2019-04-03,30440.849609375,30602.55078125,30036.25,30093.30078125,30354.25,11735.2998046875,11761.0,11629.150390625,11643.9501953125,11713.2001953125,306.5,311.0,298.0249938964844,299.42498779296875,445816,305.29998779296875,1146.050048828125,1158.0,1144.125,1146.375,3829726,1147.425048828125,1342.0,1357.449951171875,1331.0,1334.199951171875,2766566,1339.449951171875,1784.0,1818.0,1761.949951171875,1773.5999755859375,2494990,1774.550048828125,55.29999923706055,55.54999923706055,54.29999923706055,54.54999923706055,10427707,54.95000076293945,770.0,772.75,758.7000122070312,761.5,5591613,767.4000244140625,399.0,402.79998779296875,390.6499938964844,392.1000061035156,12317200,397.1499938964844,99.4000015258789,99.80000305175781,93.9000015258789,94.44999694824219,52523325,98.30000305175781,97.5999984741211,98.44999694824219,94.80000305175781,95.19999694824219,10806272,97.4000015258789,134.39999389648438,137.14999389648438,131.35000610351562,132.0500030517578,31127867,133.1999969482422,532.0999755859375,554.7000122070312,532.0999755859375,550.2000122070312,1604829,531.3499755859375,331.0,332.45001220703125,319.5,320.5,30552104,329.0
2019-04-04,30147.30078125,30245.69921875,29809.900390625,29904.900390625,30093.30078125,11660.2001953125,11662.5498046875,11559.2001953125,11598.0,11643.9501953125,300.5,303.70001220703125,292.6000061035156,300.6000061035156,295456,299.42498779296875,1146.375,1156.5,1140.0,1141.9749755859375,4605776,1146.375,1337.4000244140625,1344.75,1317.050048828125,1322.9000244140625,2592949,1334.199951171875,1773.5999755859375,1782.75,1723.25,1736.1500244140625,2164515,1773.5999755859375,54.5,54.79999923706055,53.54999923706055,54.0,15059462,54.54999923706055,763.0,771.9000244140625,760.0,762.1500244140625,7009879,761.5,394.3999938964844,395.70001220703125,387.29998779296875,388.75,14521564,392.1000061035156,94.0,95.75,92.8499984741211,93.6500015258789,45741687,94.44999694824219,95.0,96.9000015258789,94.55000305175781,95.0999984741211,13779822,95.19999694824219,133.1999969482422,134.0,130.1999969482422,131.1999969482422,25022512,132.0500030517578,551.0,557.7000122070312,541.0999755859375,545.7999877929688,757129,550.2000122070312,321.5,325.75,318.29998779296875,321.79998779296875,27832294,320.5
2019-04-05,30002.849609375,30174.0,29850.0,30084.650390625,29904.900390625,11638.400390625,11689.650390625,11609.5,11665.9501953125,11598.0,300.1000061035156,303.0,293.5,297.375,435154,300.6000061035156,1143.9000244140625,1156.875,1141.0,1152.800048828125,4175590,1141.9749755859375,1330.0,1340.050048828125,1326.1500244140625,1335.949951171875,1743729,1322.9000244140625,1748.0,1774.8499755859375,1745.1500244140625,1767.949951171875,1183378,1736.1500244140625,54.400001525878906,54.75,53.70000076293945,54.20000076293945,10579864,54.0,763.9500122070312,768.75,756.0999755859375,762.2000122070312,5343947,762.1500244140625,389.25,392.5,385.6000061035156,390.54998779296875,10853927,388.75,94.30000305175781,94.75,92.0,93.0999984741211,30275193,93.6500015258789,95.44999694824219,100.0,95.30000305175781,98.75,17963075,95.0999984741211,131.9499969482422,132.85000610351562,128.8000030517578,130.60000610351562,21264107,131.1999969482422,546.0,552.2999877929688,543.25,548.1500244140625,269553,545.7999877929688,323.70001220703125,323.70001220703125,315.0,317.04998779296875,23117232,321.79998779296875
